request_id,phase_type,t_start,t_end,prefill_tokens,decode_tokens
cmpl-43acc3dd398d4623af10ef92a6c8dfbe,prefill,0.0,0.0413355827331543,3747,0
cmpl-43acc3dd398d4623af10ef92a6c8dfbe,decode,0.0413355827331543,3.5272510051727295,0,747
cmpl-ee94a03f80db451bbb220b0764004dd1,prefill,1.4829652309417725,1.534609317779541,4509,0
cmpl-ee94a03f80db451bbb220b0764004dd1,decode,1.534609317779541,6.367570877075195,0,1024
cmpl-fe1e4a29a8d2487fb845388eaac343db,prefill,2.96195125579834,2.9867918491363525,878,0
cmpl-fe1e4a29a8d2487fb845388eaac343db,decode,2.9867918491363525,6.397856950759888,0,721
cmpl-f5e41ec0255142cb9c5807d4f66f6fab,prefill,4.451911211013794,4.478739261627197,2312,0
cmpl-f5e41ec0255142cb9c5807d4f66f6fab,decode,4.478739261627197,9.427363157272339,0,1024
cmpl-e1dbcc841c5b48c09ab9e6d2034867cb,prefill,5.939107179641724,5.979258298873901,3594,0
cmpl-e1dbcc841c5b48c09ab9e6d2034867cb,decode,5.979258298873901,10.173047304153442,0,867
cmpl-185da37445e14484852ce93b9c816cc9,prefill,7.427582263946533,7.497039079666138,5198,0
cmpl-185da37445e14484852ce93b9c816cc9,decode,7.497039079666138,12.515729904174805,0,1024
cmpl-4245b3490c1043c6b03911667b7c822f,prefill,8.916908025741577,8.98919939994812,6001,0
cmpl-4245b3490c1043c6b03911667b7c822f,decode,8.98919939994812,13.998177528381348,0,1024
cmpl-f4978e18e599492ba0d4130b53c026e0,prefill,10.39496898651123,10.44326114654541,4100,0
cmpl-f4978e18e599492ba0d4130b53c026e0,decode,10.44326114654541,14.501064538955688,0,833
cmpl-0cfa52dab4f74613ac20ec0e13e1f20e,prefill,11.888477325439453,11.952726125717163,5262,0
cmpl-0cfa52dab4f74613ac20ec0e13e1f20e,decode,11.952726125717163,16.886826038360596,0,1024
cmpl-a1e936c4d5584c4bb3dddfa59d6a5be2,prefill,14.848060846328735,14.874382257461548,1428,0
cmpl-a1e936c4d5584c4bb3dddfa59d6a5be2,decode,14.874382257461548,17.054340600967407,0,457
cmpl-00bc3202617a43d1b17e86764603cda6,prefill,13.371272563934326,13.402108907699585,2699,0
cmpl-00bc3202617a43d1b17e86764603cda6,decode,13.402108907699585,17.095083475112915,0,772
cmpl-0c88045729044b53b1a8addfb96b7c21,prefill,16.334609270095825,16.374444246292114,3722,0
cmpl-0c88045729044b53b1a8addfb96b7c21,decode,16.374444246292114,21.309375524520874,0,1024
cmpl-6e099149ba594d9e96926b5944a8591f,prefill,19.308626174926758,19.37512707710266,5161,0
cmpl-6e099149ba594d9e96926b5944a8591f,decode,19.37512707710266,21.782958269119263,0,491
cmpl-9842b9da56004212ad6425c4ca7ce91d,prefill,17.820061206817627,17.855665683746338,2597,0
cmpl-9842b9da56004212ad6425c4ca7ce91d,decode,17.855665683746338,22.816166400909424,0,1024
cmpl-761534c6d5de4b5e887ee24b6e8f1d25,prefill,20.7977511882782,20.88083815574646,7168,0
cmpl-761534c6d5de4b5e887ee24b6e8f1d25,decode,20.88083815574646,25.807400703430176,0,1024
cmpl-bd97113a47e74bdfa52b7d5978b15f25,prefill,22.275439739227295,22.30653977394104,2681,0
cmpl-bd97113a47e74bdfa52b7d5978b15f25,decode,22.30653977394104,27.259924173355103,0,1024
cmpl-82e244bc7c8c41a692ab85cd7b05f04f,prefill,23.759939908981323,23.79853582382202,3246,0
cmpl-82e244bc7c8c41a692ab85cd7b05f04f,decode,23.79853582382202,28.484939336776733,0,956
cmpl-22f5e493007a44659aa0e5ac1d18724f,prefill,28.222810983657837,28.29328203201294,5640,0
cmpl-22f5e493007a44659aa0e5ac1d18724f,decode,28.29328203201294,29.0108163356781,0,151
cmpl-e3ea4e035a494788b8b530da73c0446a,prefill,25.23993968963623,25.26253056526184,1660,0
cmpl-e3ea4e035a494788b8b530da73c0446a,decode,25.26253056526184,30.28290033340454,0,1024
cmpl-f3eb44bebf3f429e98f4e18fe8c4104b,prefill,26.736432790756226,26.817010164260864,7168,0
cmpl-f3eb44bebf3f429e98f4e18fe8c4104b,decode,26.817010164260864,31.80092144012451,0,1024
cmpl-0d029f3955064ebe90ed23197bd38591,prefill,29.702706575393677,29.755236864089966,4508,0
cmpl-0d029f3955064ebe90ed23197bd38591,decode,29.755236864089966,31.921032905578613,0,453
cmpl-b78cc10b5a2b466e9ba0c8db93e1e767,prefill,32.673611640930176,32.73911738395691,4654,0
cmpl-b78cc10b5a2b466e9ba0c8db93e1e767,decode,32.73911738395691,37.271016120910645,0,979
cmpl-33840d9d1a9e49cca92c4c09314eb110,prefill,34.15909814834595,34.194138526916504,3195,0
cmpl-33840d9d1a9e49cca92c4c09314eb110,decode,34.194138526916504,38.91782259941101,0,1024
cmpl-985e4a520a9845faa3d7ce0120be46d0,prefill,35.635582447052,35.641005754470825,2,0
cmpl-985e4a520a9845faa3d7ce0120be46d0,decode,35.641005754470825,40.207143783569336,0,1001
cmpl-872c374c23fa4430aee1ff33c96e288e,prefill,44.81088972091675,44.877944469451904,4619,0
cmpl-872c374c23fa4430aee1ff33c96e288e,decode,44.877944469451904,46.24035835266113,0,276
cmpl-ac4c62af3e4642b1bdc4628cda25d0a0,prefill,42.8000271320343,42.875420808792114,5797,0
cmpl-ac4c62af3e4642b1bdc4628cda25d0a0,decode,42.875420808792114,47.80446815490723,0,1024
cmpl-fb7b1997dfb64f61b91cb3da9084e754,prefill,43.799959897994995,43.82357335090637,1957,0
cmpl-fb7b1997dfb64f61b91cb3da9084e754,decode,43.82357335090637,48.60410785675049,0,985
cmpl-8cdf8cb6d2fd4b91aeff47eebd9d81b0,prefill,48.82970595359802,48.88969874382019,4723,0
cmpl-8cdf8cb6d2fd4b91aeff47eebd9d81b0,decode,48.88969874382019,49.78714942932129,0,191
cmpl-fd106b15741b413bb7fce9b3d41ac8fc,prefill,46.818419456481934,46.85952568054199,3359,0
cmpl-fd106b15741b413bb7fce9b3d41ac8fc,decode,46.85952568054199,51.80820655822754,0,1024
cmpl-9a8509353a684db5b0ca4b8a9e5324a0,prefill,49.83406710624695,49.862836837768555,1785,0
cmpl-9a8509353a684db5b0ca4b8a9e5324a0,decode,49.862836837768555,52.34129786491394,0,503
cmpl-9fdb83b8833b47c7a3a40b0a53bc7137,prefill,47.82247281074524,47.85624074935913,3104,0
cmpl-9fdb83b8833b47c7a3a40b0a53bc7137,decode,47.85624074935913,52.89379286766052,0,1024
cmpl-418efcdd69274beb91f72ba36bc07d68,prefill,51.84795904159546,51.92509317398071,6366,0
cmpl-418efcdd69274beb91f72ba36bc07d68,decode,51.92509317398071,54.31311225891113,0,474
cmpl-609e555338b24dd8a801ab49221d9af0,prefill,50.84358596801758,50.88458585739136,3835,0
cmpl-609e555338b24dd8a801ab49221d9af0,decode,50.88458585739136,55.326852560043335,0,881
cmpl-e08936237a7140ee8e9d4ce83abc17a4,prefill,53.857173919677734,53.93685865402222,6839,0
cmpl-e08936237a7140ee8e9d4ce83abc17a4,decode,53.93685865402222,56.7678656578064,0,575
cmpl-3cf121e4a0bd4cec919b424b7e596014,prefill,52.847981452941895,52.90749716758728,4662,0
cmpl-3cf121e4a0bd4cec919b424b7e596014,decode,52.90749716758728,57.96668887138367,0,1024
cmpl-ff3b7c5294a5418cae0f74cc262a6968,prefill,56.860066175460815,56.8665931224823,257,0
cmpl-ff3b7c5294a5418cae0f74cc262a6968,decode,56.8665931224823,59.64846205711365,0,566
cmpl-d31e48a475c44b89a28f618d03fdba03,prefill,54.8607759475708,54.91024827957153,4280,0
cmpl-d31e48a475c44b89a28f618d03fdba03,decode,54.91024827957153,59.983174324035645,0,1024
cmpl-c41c1504b47f42cb8bf2c873174c3b42,prefill,58.88622784614563,58.971864461898804,6913,0
cmpl-c41c1504b47f42cb8bf2c873174c3b42,decode,58.971864461898804,61.034082651138306,0,402
cmpl-dec1569dc5ff4a1e927de6897869aa54,prefill,57.87524080276489,57.91458010673523,3664,0
cmpl-dec1569dc5ff4a1e927de6897869aa54,decode,57.91458010673523,63.12446427345276,0,1024
cmpl-85c201f15a4e42959900c75a48d0ae67,prefill,59.88914108276367,59.96008539199829,5782,0
cmpl-85c201f15a4e42959900c75a48d0ae67,decode,59.96008539199829,65.13757300376892,0,1024
cmpl-c7b3d3347db74dc892532114aa563e38,prefill,60.893606185913086,60.975770473480225,7168,0
cmpl-c7b3d3347db74dc892532114aa563e38,decode,60.975770473480225,65.19337821006775,0,838
cmpl-848a82c78740416cadb0894f0e62aa82,prefill,62.89382886886597,62.917168617248535,1766,0
cmpl-848a82c78740416cadb0894f0e62aa82,decode,62.917168617248535,65.45655584335327,0,511
cmpl-fdfe35a0d6424023b8bb16dac49d2335,prefill,61.89923858642578,61.977325677871704,6443,0
cmpl-fdfe35a0d6424023b8bb16dac49d2335,decode,61.977325677871704,66.70982670783997,0,949
